SampleID,MAP,MAT,pH,AP,AK,TN,TP,TK,OM,NH_N,NO_N
PJRP1,42.34,10.49,7.21,56.74,224.68,1.2,0.08,6.17,21.205,0.95,3.02
PJRP2,42.34,10.49,7.06,37.07,253.51,1.3,0.09,2.89,21.722,1.72,11.59
PJRP3,42.34,10.49,7.13,46.77,207.83,1.3,0.1,2.66,23.102,1.03,2.31
SYSRP1,48.24,9.39,7.17,20.94,137.82,1.6,0.08,2.38,33.273,0.69,9.1
SYSRP2,48.24,9.39,7.11,25.44,130.93,1.5,0.09,2.17,33.101,2.5,18.47
SYSRP3,48.24,9.39,7.24,17.8,127.75,1.4,0.09,2.22,31.204,0.66,7.94
SPRP1,50.88666667,7.45,7.22,20.02,116.41,1.8,0.07,3.99,38.273,0.29,13.37
SPRP2,50.7575,7.5,7.26,52.18,190.79,1.7,0.1,6.15,34.48,0.07,19.94
SPRP3,50.7575,7.5,7.19,18.78,120.67,1.6,0.07,2.28,32.411,0.16,6.73
DHRP1,56.89166667,6.43,7.04,50.15,272.19,1.5,0.1,4.89,29.998,1.2,1.33
DHRP2,56.88,6.31,6.98,35.79,262.42,1.4,0.13,3.13,26.032,1.07,4.93
DHRP3,56.88,6.31,7.17,30.31,232.73,1.2,0.07,3.3,25.86,1.72,3.95
HLRP1,56.34916667,3.05,7.17,80.93,217.29,2.6,0.11,2.86,62.064,1.37,19.3
HLRP2,56.34916667,3.05,7.17,41.91,167.56,1.9,0.11,1.61,42.583,0.62,14.63
HLRP3,56.34916667,3.05,7.06,40.08,232.06,2.7,0.12,1.54,61.547,1.24,23.74
HEBRP1,58.99583333,4.88,7.25,53.86,381.8,2,0.1,1.56,46.031,1.02,1.8
HEBRP2,54.5425,5.39,7.34,53.62,358.68,1.9,0.11,1.77,44.996,2.03,5.61
HEBRP3,58.99583333,4.88,7.24,39.3,314.4,1.7,0.1,1.72,39.652,0.44,7.24
NJRP1,52.2075,2.38,7.39,29.82,182.4,3.8,0.12,2.12,76.718,0.04,18.7
NJRP2,52.2075,2.38,7.31,23.47,217.9,3.9,0.11,1.57,81.2,0.26,18.79
NJRP3,52.2075,2.38,7.19,21.66,191.77,2.9,0.12,1.63,60.168,0.05,19.69
HMRP1,39.64583333,0.31,7.06,52.27,131.22,2.3,0.15,1.7,50.858,0.94,8.14
HMRP2,39.64583333,0.31,6.9,81.77,131.3,1.7,0.16,2.19,36.032,0.74,4.92
HMRP3,39.66166667,0.31,6.27,86.99,138.98,1.6,0.14,1.84,32.239,1.28,3.57
